"Feature category","Implemented feature","Implementation status","Current prototype implementation","Supporting paper title","Authors","Year","Venue or source type","Support strength","Design issue supported","How this paper supports or informs the feature","Design guidance for this prototype","What to avoid or note","DOI or link","Search cluster"
"Layered visualization","Vector overlay pipeline","Implemented","Airspace, airports, intersections, Victor airways, and VORTAC-related data are represented as interactive overlays rather than only as flat raster images.","Visualizing and Interacting with Geospatial Networks: A Survey and Design Space","Jung, Dwyer, Marriott, and Klein","2021","Survey / design space paper","Moderate","How to represent route-like and network-like geospatial structures","The survey organizes techniques for visualizing and interacting with geospatial networks, which is relevant to Victor routes and connected aviation features.","Use vector overlays for routes and nodes so learners can select, trace, and compare aviation network elements.","The paper is about geospatial networks broadly, not VFR chart instruction.","https://arxiv.org/abs/2101.06322","geospatial networks vector overlays"
"Spatial representation","Airspace altitude overlay and proxy altitude volumes","Implemented","The airspace layer includes an altitude toggle. Selected airspace regions can be rendered as proxy altitude volumes driven by staged altitude metadata.","An Iterative Design Method for Advancing Air Traffic Control and Management Training Through Immersive VFR 3D Map Visualization","Patrick, Lee, Desmit, and Carter","2025","Domain prototype paper","Direct","Why altitude depiction should be improved in the next prototype","The prior study identified stronger altitude depiction as an important next-step improvement after SME evaluation.","Use the altitude overlay as a direct response to earlier SME-informed recommendations.","This supports the feature rationale, but the specific proxy-volume design still needs evaluation.","https://doi.org/10.1080/24725838.2025.2449979","altitude 3D airspace visualization"
"Spatial representation","Airspace altitude overlay and proxy altitude volumes","Implemented","Altitude metadata can be externalized into a 3D spatial representation instead of remaining only in chart text.","Design and Evaluation of a Tool to Support Air Traffic Control with 2D and 3D Visualizations","Rottermanner, de Jesus Oliveira, Lechner, Graf, Kreiger, Wagner, Iber, Rokitansky, Eschbacher, Grantz, Settgast, and Judmaier","2020","IEEE VR conference paper","Direct","Whether 3D ATC visualization can improve situation awareness and workload","The study compared 2D and 3D ATC visualizations and found higher situation awareness and lower workload in the 3D condition, while noting mixed acceptance by ATCOs.","Use the altitude layer as a testable 3D representation that may help trainees understand vertical structure.","The paper also warns that user acceptance may not match objective performance, so instructor and trainee feedback remain necessary.","https://doi.org/10.1109/VR46266.2020.00011","altitude 3D ATC visualization"
"Spatial representation","Airspace altitude overlay and proxy altitude volumes","Implemented","The system supports spatial inspection of airspace structure and altitude limits.","A Framework for Considering Spatial-Temporal Representation Design in Air Traffic Control","Wong, Rozzi, Amaldi, Woodward, and Fields","2006","Human factors / ATC visualization framework","Direct","How ATC interfaces should represent spatial relationships, constraints, and time","The framework argues that ATC visualization must support spatial-temporal reasoning about objects, constraints, and relationships.","Use altitude volumes as a way to make vertical constraints and relationships more visible during training.","This is a design framework, not an evaluation of the current prototype.","https://doi.org/10.1177/154193120605000309","altitude 3D ATC visualization"
"Spatial representation","Airspace altitude overlay and proxy altitude volumes","Implemented","The prototype uses 3D altitude cues for selected airspace rather than converting the full chart into a dense 3D scene.","Visuospatial Task Performance as a Function of Two- and Three-Dimensional Display Presentation Techniques","Van Orden and Broyles","2000","Human factors / display comparison study","Cautionary","When 3D display helps and when it may hurt performance","The study found that 3D display formats can be appealing but are not automatically better for all visuospatial ATC tasks.","Use altitude representation selectively and evaluate it against paper and baseline VR rather than assuming 3D is always superior.","This is an important caution citation for avoiding overclaiming.","https://doi.org/10.1016/S0141-9382(00)00024-X","altitude 3D ATC visualization"
"Spatial representation","Airspace altitude overlay and proxy altitude volumes","Implemented","The altitude layer can be evaluated through workload, task accuracy, and spatial interpretation measures.","Usability Evaluation of Hybrid 2D-3D Visualization Tools in Basic Air Traffic Control Operations","Li, Liu, Xu, Cui, Chen, Sourina, Johan, and Muller-Wittig","2021","IEEE SMC conference paper","Cautionary","How hybrid 2D/3D ATC displays may affect workload and spatial memory","The study reports that hybrid 2D-3D ATC visualization can have workload and spatial memory tradeoffs.","Use this as a warning to test whether the altitude overlay clarifies learning or adds burden.","This supports careful evaluation rather than the assumption that more 3D is better.","https://doi.org/10.1109/SMC52423.2021.9658807","altitude 3D ATC visualization"
"Navigation content","VORTAC-related locations","Implemented","VORTAC-related locations are staged as vector overlay objects with labels and loaded with other navigational content.","An Iterative Design Method for Advancing Air Traffic Control and Management Training Through Immersive VFR 3D Map Visualization","Patrick, Lee, Desmit, and Carter","2025","Domain prototype paper","Direct","Why navigation aids should remain part of the chart-learning layer set","The prior prototype included NAV AIDS as one of the core VFR chart layers for expert review.","Use the current VORTAC work as clearer handling of a navigation-aid subset rather than as a new unrelated feature.","Avoid writing that all navigational aids were newly added in this phase; the prior prototype already included NAV AIDS.","https://doi.org/10.1080/24725838.2025.2449979","navigation aids VORTAC"
"Spatial interaction","Controller-based map manipulation","Implemented","Users can reposition the map with one-hand grab input and translate, scale, and rotate it with two-hand input through an XR map manipulator.","An Introduction to 3-D User Interface Design","Bowman, Kruijff, LaViola, and Poupyrev","2001","3D UI design paper","Direct","How to organize VR interaction tasks","The paper classifies 3D interaction into navigation, selection/manipulation, and system control, which maps well to the prototype's map movement, feature selection, and layer controls.","Use this framework to describe map manipulation, feature selection, and control-panel interaction as separate interaction classes.","This is a general 3D UI source, not a training-outcome source.","https://vtechworks.lib.vt.edu/items/cc206095-a0b1-4add-adf4-1ef699c709c2","VR direct manipulation"
"Spatial interaction","Controller-based map manipulation","Implemented","The map can be grabbed and manipulated in the immersive scene instead of being inspected only through fixed camera movement.","An Evaluation of Techniques for Grabbing and Manipulating Remote Objects in Immersive Virtual Environments","Bowman and Hodges","1997","Immersive 3D interaction study","Direct","Why grab-based manipulation is a standard VR interaction family","The study evaluates grabbing and manipulating virtual objects in immersive environments and shows that manipulation techniques have different strengths and deficiencies.","Use grab-based map manipulation because the map itself is the main inspectable training object.","This supports the interaction family, but the current map manipulator still needs usability testing with trainees.","https://doi.org/10.1145/253284.253301","VR direct manipulation"
"Spatial interaction","Controller-based map manipulation","Implemented","The current interaction design gives learners agency over map scale, orientation, and position.","The Cognitive Affective Model of Immersive Learning (CAMIL): A Theoretical Research-Based Model of Learning in Immersive Virtual Reality","Makransky and Petersen","2021","Educational psychology theory paper","Moderate","Why learner control and agency matter in immersive learning","CAMIL identifies presence and agency as core affordances in immersive learning and links them to self-efficacy, cognitive load, and learning outcomes.","Use map manipulation to support learner agency, then measure whether it helps spatial understanding or adds workload.","CAMIL is theoretical; it does not prescribe the exact map manipulation technique.","https://doi.org/10.1007/s10648-020-09586-2","VR learning agency"
"Labels and feature selection","VR-native labels and selectable features","Implemented","Labels are loaded as VR-native interaction targets, and label selection is prioritized over geometry beneath it.","TransceiVR: Bridging Asymmetrical Communication Between VR Users and External Collaborators","Thoravi Kumaravel, Nguyen, DiVerdi, and Hartmann","2020","UIST conference paper","Direct","Why objects in a VR scene should be referenceable during collaboration","TransceiVR identifies that non-VR collaborators struggle when they cannot see or refer to scene elements outside the VR user's current view; it supports annotation and scene-element reference.","Make labels and features explicit interaction targets so instructor and trainee can refer to the same airspace, route, or airport.","TransceiVR supports richer annotation than the current prototype; current label selection is an initial shared-reference mechanism.","https://doi.org/10.1145/3379337.3415827","shared reference labels highlighting"
"Labels and feature selection","VR-native labels and selectable features","Implemented","Selected labels and features can serve as shared visual references during linked review.","Designing for Collaborative Learning in Immersive Virtual Reality: A Systematic Literature Review","Paulsen, Dau, and Davidsen","2024","Systematic review","Moderate","Why shared attention and marking objects matter in collaborative immersive learning","The review recommends methods for spatial awareness, joint attention, perspective-taking, and marking relevant objects in collaborative IVR.","Use selectable labels and highlights as simple tools for joint attention during instructor-guided map study.","The paper supports collaborative learning design broadly, not ATC labels specifically.","https://doi.org/10.1007/s10055-024-00975-4","collaborative IVR joint attention"
"Collaboration","Linked 2D desktop companion","Implemented","The desktop companion reads the same staged map assets as the VR client and participates in linked review sessions.","Asymmetric Collaboration in Virtual Reality: A Taxonomy of Asymmetric Interfaces for Collaborative Immersive Learning","Albaek Thomsen, Nilsson, Nordahl, and Lohmann","2019","Taxonomy paper","Direct","Why different roles can use different interfaces in collaborative immersive learning","The paper defines asymmetric immersive learning as a design space where participants may differ in interface, perspective, control, and role.","Use the desktop companion as a role-specific instructor interface rather than a reduced copy of the VR view.","This source defines the design category; it does not prove ATC training benefit.","https://doi.org/10.7146/lom.v12i20.109391","asymmetric VR PC collaboration"
"Collaboration","Linked 2D desktop companion","Implemented","The desktop interface gives the instructor a non-immersive way to guide and monitor the immersive trainee view.","A Composite Framework of Co-located Asymmetric Virtual Reality","Ouverson and Gilbert","2021","CSCW framework paper","Direct","How to reason about asymmetry across technology, information, interaction, and role","The framework explains asymmetric VR through differences in devices, abilities, information access, and collaboration roles.","Use the instructor desktop as a deliberate role-based interface with oversight and guidance functions.","Use this to justify design dimensions, not to claim learning effects.","https://doi.org/10.1145/3449079","asymmetric VR PC collaboration"
"Collaboration","Linked 2D desktop companion","Implemented","The desktop companion reflects trainee focus and shared state while the trainee remains in WebXR.","Understanding User Experience, Task Performance, and Task Interdependence in Symmetric and Asymmetric VR Collaborations","Zhang, Wang, and colleagues","2024","Virtual Reality journal article","Moderate","How PC plus VR collaboration compares with PC-PC and VR-VR configurations","The study reports that PC+VR collaboration can be a viable alternative for selection and manipulation tasks and can improve some collaboration qualities while reducing simulator-sickness risk compared with VR-VR.","Supports the choice to combine PC reliability and VR immersion instead of requiring every collaborator to use a headset.","The study uses generic object selection/manipulation tasks, not aviation instruction.","https://doi.org/10.1007/s10055-024-01072-2","asymmetric VR PC collaboration"
"Collaboration","Asymmetric instructor-trainee collaboration","Early implementation","The prototype pairs an immersive trainee view with a linked instructor desktop view through shared browser-session state.","Towards Collaborative Learning in Virtual Reality: A Comparison of Co-Located Symmetric and Asymmetric Pair-Learning","Drey, Albus, der Kinderen, Milo, Segschneider, Chanzab, Rietzler, Seufert, and Rukzio","2022","CHI conference paper","Direct","Whether asymmetric teacher/learner arrangements can support learning","The study compared VR-VR pair learning with a VR-tablet asymmetric condition and found comparable learning outcomes, although VR-VR gave stronger presence and immersion.","Use it to support the feasibility of asymmetric instructor-guided learning while remaining cautious about presence and awareness tradeoffs.","The study also suggests asymmetric systems need better awareness cues so VR users understand what the non-VR partner is doing.","https://doi.org/10.1145/3491102.3517641","asymmetric instructor trainee learning"
"Collaboration","Asymmetric instructor-trainee collaboration","Early implementation","Instructor and trainee work with the same spatial material through different interfaces and roles.","Combining Virtual Reality with Asymmetric Collaborative Learning: A Case Study in Chemistry Education","De Lorenzis, Visconti, Restivo, and colleagues","2024","Smart Learning Environments article","Direct","Whether asymmetric VR collaboration can improve learning in higher education","The study reports that asymmetric collaborative VR supported theoretical knowledge gain and reduced mental demand in parts of a chemistry learning setting.","Supports testing whether guided asymmetric collaboration can improve ATC map learning and workload.","The domain differs from ATC, so cite it as evidence of potential, not proof for aviation training.","https://doi.org/10.1186/s40561-024-00331-8","asymmetric instructor trainee learning"
"Collaboration","Asymmetric instructor-trainee collaboration","Early implementation","The collaboration model treats the instructor as a guide who can direct attention and sequence learning.","Student and Teacher Meet in a Shared Virtual Reality: A One-on-One Tutoring System for Anatomy Education","Saalfeld, Schmeier, D'Hanis, Rothkoetter, and Preim","2020","Tutoring system / preprint","Direct","Has instructor-student cross-interface tutoring been implemented in another spatial learning domain?","The paper presents an anatomy tutoring system where a student uses immersive VR and a teacher guides the session through another interface.","Supports a teacher-guided VR training model for spatial material, though in anatomy rather than ATC.","Use as a close design precedent, but not as evidence of ATC effectiveness.","https://arxiv.org/abs/2011.07926","asymmetric instructor trainee learning"
"Collaboration","Asymmetric instructor-trainee collaboration","Early implementation","The instructor interface is intended to support monitoring, guidance, and future task sequencing.","Knowing Your Student: Targeted Teaching Decision Support Through Asymmetric Mixed Reality Collaborative Learning","Pan, Zheng, Xu, and Campbell","2021","IEEE Access article","Direct","How asymmetric MR can support teacher decision-making","The paper uses asymmetric MR to help teachers understand student progress and provide targeted guidance.","Use it to motivate instructor-facing features such as progress views, task assignment, and targeted feedback in future iterations.","This source is stronger for instructor dashboards and decision support than for the current minimal linked-session implementation.","https://doi.org/10.1109/ACCESS.2021.3134589","teacher decision support XR"
"Collaboration","Synchronized feature selection and highlighting","Implemented","VR and desktop clients exchange selection events so selected labels and features can be highlighted across views.","TransceiVR: Bridging Asymmetrical Communication Between VR Users and External Collaborators","Thoravi Kumaravel, Nguyen, DiVerdi, and Hartmann","2020","UIST conference paper","Direct","Why shared visual reference is important in VR/non-VR collaboration","TransceiVR found that VR users and outside collaborators have communication problems when the collaborator cannot explore or annotate scene elements; its tools improved task time, errors, and workload.","Use synchronized highlighting as the current prototype's lightweight version of shared scene reference and annotation.","Current highlighting should later expand toward instructor pointers, annotations, or task markers.","https://doi.org/10.1145/3379337.3415827","shared reference labels highlighting"
"Collaboration","Synchronized feature selection and highlighting","Implemented","Highlights let instructor and trainee stay aligned around the same chart element.","Designing for Collaborative Learning in Immersive Virtual Reality: A Systematic Literature Review","Paulsen, Dau, and Davidsen","2024","Systematic review","Moderate","Why collaborative IVR needs tools for joint attention","The review recommends support for spatial awareness, joint attention, perspective-taking, and marking relevant objects.","Use synchronized highlights as a joint-attention mechanism for instructor-guided ATC chart study.","This citation supports the design principle; evaluation still needs to test whether highlights improve learning.","https://doi.org/10.1007/s10055-024-00975-4","collaborative IVR joint attention"
"Collaboration","Synchronized layer state","Implemented","Layer toggle changes can be shared between VR and desktop clients in a linked session.","A Composite Framework of Co-located Asymmetric Virtual Reality","Ouverson and Gilbert","2021","CSCW framework paper","Direct","Why shared state matters when users have different interfaces","The framework identifies information asymmetry and interaction asymmetry as design dimensions that must be managed in asymmetric VR.","Use synchronized layer state so instructor and trainee know which information is visible and can coordinate discussion around the same view.","The UI should eventually show who changed a layer and why, because hidden state changes can confuse learners.","https://doi.org/10.1145/3449079","asymmetric VR PC collaboration"
"Collaboration","Synchronized layer state","Implemented","The shared session can keep instructor and learner aligned at the level of visual context.","Towards Collaborative Learning in Virtual Reality: A Comparison of Co-Located Symmetric and Asymmetric Pair-Learning","Drey, Albus, der Kinderen, Milo, Segschneider, Chanzab, Rietzler, Seufert, and Rukzio","2022","CHI conference paper","Cautionary","What can go wrong in asymmetric learning systems","Drey et al. found that asymmetric learning can work, but the VR user may lack awareness of the non-VR partner's behavior if the system does not make it visible.","Layer synchronization should include clear learner-facing cues so the trainee understands instructor actions rather than seeing unexplained changes.","This is especially important before classroom or one-to-many use.","https://doi.org/10.1145/3491102.3517641","asymmetric instructor trainee learning"
"Collaboration","Browser-native linked sessions","Implemented","Linked sessions use shared browser modules, session identifiers, and browser-native message passing to exchange selection and layer events.","WebTransceiVR: Asymmetrical Communication Between Multiple VR and Non-VR Users Online","Lyu, Vachha, Chen, Pyrinis, Liou, Thoravi Kumaravel, and Hartmann","2022","CHI Extended Abstract / toolkit paper","Direct","How web browsers can support non-VR users in a VR collaboration space","WebTransceiVR shows how standard web browsers can let non-VR users share a VR user's space and interact with the VR scene.","Supports the current browser-native linked-session direction and future one-to-many instructor monitoring.","WebTransceiVR supports multiple users and spectators; the current prototype currently supports a simpler local linked-session model.","https://doi.org/10.1145/3491101.3519816","webxr browser collaboration"
"Collaboration","Browser-native linked sessions","Implemented","Session state is exchanged between browser clients rather than being tied to a headset-only runtime.","TransceiVR: Bridging Asymmetrical Communication Between VR Users and External Collaborators","Thoravi Kumaravel, Nguyen, DiVerdi, and Hartmann","2020","UIST conference paper","Direct","Why VR applications need mechanisms for external collaborators","The paper identifies asymmetrical communication challenges and develops tools for non-VR collaborators to inspect, annotate, and discuss VR scene content.","Supports linked sessions as core infrastructure for instructor-guided training rather than a secondary screen mirror.","TransceiVR uses platform APIs for third-party apps; your prototype can implement collaboration directly because you control the codebase.","https://doi.org/10.1145/3379337.3415827","webxr browser collaboration"
"Collaboration","Asymmetric collaborative interaction model","Early implementation","The system supports unequal roles: trainee in immersive study, instructor in monitoring/guidance role.","Characterizing Asymmetric Collaborative Interactions in Virtual and Augmented Realities","Grandi, Debarba, and Maciel","2019","IEEE VR conference paper","Moderate","Whether asymmetric XR pairs can cooperate effectively despite different interfaces","The study found that asymmetric VR-AR pairs achieved better performance than an AR-AR condition and similar performance to VR-VR, with high cooperation across conditions.","Supports treating asymmetry as a viable collaboration structure when roles and interaction capabilities are designed carefully.","This was VR-AR object manipulation, not VR-PC instruction or ATC training.","https://doi.org/10.1109/VR.2019.8798080","asymmetric XR collaboration"
"Collaboration","Asymmetric collaborative interaction model","Early implementation","The instructor and trainee use different views and tools while working with shared map content.","Understanding User Experience, Task Performance, and Task Interdependence in Symmetric and Asymmetric VR Collaborations","Zhang, Wang, and colleagues","2024","Virtual Reality journal article","Moderate","How device mix affects task interdependence and collaboration experience","The study reports that PC+VR asymmetric collaboration can be preferred over PC-PC and can support closeness, social presence, task performance, and task interdependence in object tasks.","Use PC+VR pairing where the instructor needs reliable desktop control and the trainee needs immersive spatial understanding.","The findings are task-specific and should not be generalized to all training contexts without testing.","https://doi.org/10.1007/s10055-024-01072-2","asymmetric VR PC collaboration"
"Evaluation readiness","Stand-alone demo and launch workflow","Implemented","The project includes launch paths for VR-only review, linked desktop review, HTTPS headset use, and one-click local demo startup.","An Iterative Design Method for Advancing Air Traffic Control and Management Training Through Immersive VFR 3D Map Visualization","Patrick, Lee, Desmit, and Carter","2025","Domain prototype paper","Moderate","Why maintain a demoable prototype for SME feedback and iterative design","The prior work used iterative design and expert evaluation to refine the VFR 3D map prototype.","Use launch scripts and a stand-alone demo workflow to make the system easier to review with SMEs, instructors, and study participants.","This is support for process and evaluation readiness, not a feature-level learning claim.","https://doi.org/10.1080/24725838.2025.2449979","prototype evaluation readiness"
"Evaluation readiness","Stand-alone demo and launch workflow","Implemented","The prototype can be launched in repeatable modes for research demonstrations and future pilot studies.","A Systematic Review of Immersive Virtual Reality Applications for Higher Education: Design Elements, Lessons Learned, and Research Agenda","Radianti, Majchrzak, Fromm, and Wohlgenannt","2020","Systematic review","Moderate","Why VR education prototypes need clearer evaluation and reporting","The review shows that higher-education VR work often emphasizes usability and novelty and needs stronger learning-outcome evaluation.","Use a repeatable demo and launch workflow as preparation for controlled comparison studies rather than only one-off demonstrations.","The paper supports the evaluation need, not the launch scripts specifically.","https://doi.org/10.1016/j.compedu.2019.103778","VR education evaluation"
"Evaluation readiness","Planned feature usage and learning measures","Planned / partially supported","The study plan proposes time on task, reaction time, errors, retention, self-efficacy, workload, feature usage, and instructor observations.","Development of NASA-TLX (Task Load Index): Results of Empirical and Theoretical Research","Hart and Staveland","1988","Measurement paper","Direct","How to measure workload in prototype comparisons","NASA-TLX is a standard subjective workload instrument used widely in human factors research.","Use NASA-TLX when comparing paper, VR-only, and synchronized instructor-guided conditions.","This is an evaluation instrument, not support for a specific implemented interface feature.","https://doi.org/10.1016/S0166-4115(08)62386-9","evaluation workload learning outcomes"
"Evaluation readiness","Planned feature usage and learning measures","Planned / partially supported","Feature usage and instructor observations are planned to connect interaction behavior to training outcomes.","Toward a Theory of Situation Awareness in Dynamic Systems","Endsley","1995","Human factors theory paper","Background","Why ATC training evaluation should consider situation awareness","Endsley's theory frames situation awareness as perception, comprehension, and projection in dynamic systems, which aligns with ATC training needs.","Use situation-awareness framing when designing tasks around airspace structure, routes, altitude limits, and operational constraints.","The paper is theoretical and should be paired with concrete task measures.","https://doi.org/10.1518/001872095779049543","evaluation workload learning outcomes"
"Evaluation readiness","Planned feature usage and learning measures","Planned / partially supported","The evaluation plan includes self-efficacy and learning outcomes rather than only usability preference.","The Cognitive Affective Model of Immersive Learning (CAMIL): A Theoretical Research-Based Model of Learning in Immersive Virtual Reality","Makransky and Petersen","2021","Educational psychology theory paper","Moderate","Why self-efficacy, cognitive load, agency, and learning outcomes belong in the study","CAMIL links immersive learning affordances to self-efficacy, cognitive load, self-regulation, and learning outcomes.","Use CAMIL to justify measuring both learning performance and learner self-efficacy.","Do not imply CAMIL proves this prototype improves learning; it supports measure selection.","https://doi.org/10.1007/s10648-020-09586-2","evaluation workload learning outcomes"
